439
1 5
430.0 323.0 0
496.0 311.0 37
563.0 294.0 71
632.0 280.0 106
716.0 280.0 147
2 4
539.0 266.0 0
606.0 268.0 38
667.0 270.0 67
716.0 274.0 90
3 14
289.0 425.0 0
330.0 372.0 31
373.0 326.0 63
433.0 301.0 95
496.0 275.0 127
548.0 243.0 159
583.0 228.0 183
605.0 221.0 201
639.0 197.0 229
644.0 174.0 256
646.0 153.0 282
668.0 132.0 314
688.0 111.0 347
702.0 107.0 367
4 20
108.0 316.0 0
136.0 301.0 32
153.0 299.0 287
185.0 300.0 317
217.0 289.0 351
229.0 282.0 379
239.0 283.0 563
259.0 285.0 595
279.0 291.0 634
303.0 286.0 744
334.0 292.0 780
377.0 308.0 815
427.0 311.0 847
462.0 296.0 880
506.0 279.0 918
554.0 276.0 952
601.0 261.0 984
647.0 247.0 1013
697.0 231.0 1054
724.0 226.0 1074
5 10
650.0 302.0 0
561.0 291.0 26
474.0 259.0 53
389.0 235.0 81
305.0 217.0 113
234.0 184.0 142
192.0 125.0 175
162.0 73.0 208
127.0 47.0 229
56.0 4.0 272
6 4
671.0 343.0 0
639.0 333.0 28
609.0 328.0 58
600.0 340.0 103
7 17
649.0 476.0 0
596.0 456.0 30
551.0 425.0 58
501.0 391.0 88
444.0 362.0 118
391.0 335.0 149
341.0 307.0 180
317.0 307.0 203
283.0 300.0 227
242.0 289.0 254
196.0 284.0 282
156.0 280.0 307
118.0 280.0 335
88.0 288.0 370
58.0 299.0 404
22.0 298.0 430
3.0 292.0 444
8 16
669.0 442.0 0
618.0 429.0 31
568.0 415.0 61
525.0 391.0 94
477.0 357.0 124
427.0 323.0 157
380.0 299.0 188
360.0 297.0 206
317.0 290.0 229
274.0 279.0 255
232.0 263.0 282
197.0 263.0 309
149.0 268.0 339
106.0 258.0 384
31.0 252.0 439
0.0 251.0 460
9 9
682.0 247.0 0
669.0 209.0 40
660.0 191.0 98
652.0 150.0 124
641.0 123.0 152
626.0 87.0 183
607.0 74.0 215
602.0 47.0 244
574.0 6.0 287
10 20
51.0 229.0 0
96.0 227.0 35
139.0 213.0 69
159.0 212.0 103
203.0 213.0 132
260.0 214.0 170
298.0 217.0 198
327.0 225.0 230
362.0 236.0 264
410.0 249.0 299
453.0 255.0 327
507.0 272.0 359
566.0 273.0 399
611.0 270.0 440
637.0 281.0 482
659.0 316.0 507
682.0 341.0 536
694.0 377.0 565
693.0 419.0 595
720.0 438.0 632
11 20
42.0 245.0 0
66.0 246.0 31
100.0 252.0 66
144.0 242.0 104
200.0 237.0 137
256.0 239.0 171
324.0 240.0 209
388.0 235.0 244
461.0 235.0 285
509.0 222.0 317
529.0 232.0 347
523.0 248.0 384
538.0 259.0 418
571.0 252.0 450
608.0 243.0 488
647.0 247.0 520
677.0 268.0 547
682.0 279.0 595
704.0 299.0 612
723.0 335.0 630
12 20
23.0 246.0 0
60.0 238.0 42
100.0 235.0 77
132.0 225.0 111
172.0 221.0 145
219.0 218.0 176
270.0 222.0 204
310.0 236.0 233
348.0 253.0 267
386.0 272.0 301
440.0 279.0 335
493.0 283.0 363
528.0 285.0 395
562.0 273.0 428
591.0 270.0 458
610.0 273.0 485
651.0 267.0 514
675.0 282.0 546
706.0 296.0 579
719.0 298.0 595
13 19
10.0 267.0 0
51.0 257.0 47
89.0 261.0 84
140.0 255.0 122
203.0 258.0 160
270.0 261.0 197
320.0 257.0 231
374.0 272.0 269
420.0 291.0 307
481.0 304.0 346
543.0 302.0 387
594.0 306.0 429
611.0 300.0 464
622.0 299.0 503
651.0 301.0 541
666.0 328.0 569
668.0 373.0 598
692.0 398.0 624
714.0 414.0 641
14 8
544.0 178.0 0
567.0 168.0 115
587.0 163.0 156
618.0 153.0 182
648.0 148.0 216
665.0 150.0 243
695.0 178.0 279
716.0 198.0 301
15 9
515.0 189.0 0
540.0 190.0 29
558.0 192.0 97
585.0 205.0 124
624.0 197.0 163
643.0 182.0 194
677.0 183.0 220
703.0 190.0 240
721.0 189.0 262
16 9
486.0 177.0 0
515.0 182.0 30
531.0 171.0 72
545.0 159.0 121
570.0 151.0 153
606.0 140.0 183
628.0 141.0 221
659.0 144.0 260
703.0 161.0 295
17 14
704.0 532.0 24
625.0 495.0 48
560.0 452.0 74
488.0 409.0 103
416.0 373.0 134
398.0 354.0 150
366.0 343.0 169
324.0 332.0 189
277.0 317.0 212
211.0 321.0 237
149.0 326.0 261
81.0 319.0 297
43.0 310.0 323
5.0 304.0 339
18 23
700.0 426.0 31
662.0 404.0 57
630.0 396.0 83
590.0 393.0 116
562.0 383.0 141
546.0 373.0 170
546.0 373.0 200
546.0 373.0 210
546.0 373.0 220
546.0 373.0 230
546.0 373.0 240
553.0 390.0 250
561.0 407.0 260
561.0 407.0 270
561.0 407.0 280
561.0 407.0 300
561.0 407.0 452
561.0 407.0 664
561.0 407.0 876
561.0 407.0 1088
561.0 407.0 1300
561.0 407.0 1512
561.0 407.0 1725
19 15
704.0 382.0 52
677.0 390.0 84
664.0 400.0 128
622.0 403.0 178
579.0 399.0 214
536.0 392.0 248
470.0 369.0 281
382.0 339.0 319
306.0 332.0 353
229.0 335.0 390
170.0 352.0 428
131.0 364.0 461
